field,focalMm,focalRatio,limitMag,defocusSteps,aberr,arm,iters,starsQueried,stampJobs,distinctKernels,kernelCacheBytes,maxKernelRadiusPx,orientationBins,defocusQuantumUm,totalMsMedian,totalMsMin,totalMsMax,queryMs,jobBuildMs,kernelGenMs,stampMs,developMs,kernelGenMsPerKernel,skyPlusDarkElectronsPerPx,config,processorCount
dense,1000,7.10,17.0,350,A1,on-zero,5,21923,8462,5,1119552,29,1,13.35,434.7,413.1,484.3,52.0,60.5,5.0,28.0,323.9,1.00,5.93,Release,48
dense,1000,7.10,17.0,350,A1,on,5,21923,8462,67,15471296,29,14,13.35,428.2,418.2,461.0,52.9,82.7,22.5,19.4,317.5,0.34,5.93,Release,48
dense,1000,7.10,17.0,350,A1,on-strong,5,21923,8464,246,59135360,30,30,13.35,517.8,501.1,588.0,54.3,172.0,116.6,21.9,311.0,0.47,5.93,Release,48
dense,1000,7.10,17.0,350,A2,off,5,21923,8464,9,1997888,30,1,13.35,410.1,404.1,413.3,47.9,64.9,14.4,18.6,313.3,1.59,5.93,Release,48
dense,1000,7.10,17.0,350,A2,on-zero,5,21923,8464,9,1997888,30,1,13.35,402.2,399.6,435.6,48.8,61.6,10.5,17.2,310.7,1.17,5.93,Release,48
dense,1000,7.10,17.0,350,A2,on,5,21923,8464,187,43830976,30,15,13.35,486.6,472.0,507.9,48.6,134.0,83.6,23.4,309.5,0.45,5.93,Release,48
dense,1000,7.10,17.0,350,A2,on-strong,5,21923,8467,497,118245440,31,31,13.35,615.7,606.0,633.7,53.1,268.8,210.6,21.9,308.9,0.42,5.93,Release,48
dense-wide,530,5.00,17.0,0,A0,off,5,96700,34193,1,9280,4,1,9.40,538.2,530.9,590.3,82.1,91.7,0.2,13.9,420.1,0.21,11.89,Release,48
dense-wide,530,5.00,17.0,0,A0,on-zero,5,96700,34193,1,9280,4,1,9.40,536.0,530.4,568.3,83.2,93.5,0.2,13.4,416.1,0.21,11.89,Release,48
dense-wide,530,5.00,17.0,0,A0,on,5,96700,34193,1,9280,4,1,9.40,535.0,515.6,570.7,82.3,91.8,0.2,13.6,416.4,0.19,11.89,Release,48
dense-wide,530,5.00,17.0,0,A0,on-strong,5,96700,34193,1,9280,4,1,9.40,537.5,531.4,564.1,82.7,92.2,0.2,14.0,419.2,0.21,11.89,Release,48
dense-wide,530,5.00,17.0,0,A1,off,5,96700,34238,7,86464,6,1,9.40,536.0,533.7,573.7,81.4,93.8,2.8,13.9,414.2,0.39,11.89,Release,48
dense-wide,530,5.00,17.0,0,A1,on-zero,5,96700,34238,7,86464,6,1,9.40,548.8,539.8,574.9,85.3,97.5,2.4,14.2,424.1,0.34,11.89,Release,48
dense-wide,530,5.00,17.0,0,A1,on,5,96700,34271,157,2682688,7,20,9.40,577.1,539.5,604.6,83.7,129.1,36.9,14.7,416.8,0.23,11.89,Release,48
dense-wide,530,5.00,17.0,0,A1,on-strong,5,96700,34289,283,5247168,8,29,9.40,590.5,574.7,618.1,84.7,135.9,39.0,18.4,415.1,0.14,11.89,Release,48
dense-wide,530,5.00,17.0,0,A2,off,5,96700,34271,13,183616,7,1,9.40,552.3,536.8,579.4,82.9,95.0,2.6,14.6,421.1,0.20,11.89,Release,48
dense-wide,530,5.00,17.0,0,A2,on-zero,5,96700,34271,13,183616,7,1,9.40,546.9,538.6,587.0,81.3,94.0,2.6,14.1,424.7,0.20,11.89,Release,48
dense-wide,530,5.00,17.0,0,A2,on,5,96700,34289,362,6471296,8,21,9.40,573.4,565.5,611.2,81.8,122.1,29.3,18.6,416.9,0.08,11.89,Release,48
dense-wide,530,5.00,17.0,0,A2,on-strong,5,96700,34327,956,17990400,9,44,9.40,624.8,608.3,635.1,82.6,171.8,74.0,15.8,419.8,0.08,11.89,Release,48
dense-wide,530,5.00,17.0,150,A0,off,5,96700,34491,1,91712,18,1,9.40,572.3,553.1,588.3,82.4,94.6,2.8,25.2,427.5,2.79,11.89,Release,48
dense-wide,530,5.00,17.0,150,A0,on-zero,5,96700,34491,1,91712,18,1,9.40,565.3,554.9,588.6,83.2,95.3,2.9,24.1,423.9,2.94,11.89,Release,48
dense-wide,530,5.00,17.0,150,A0,on,5,96700,34491,1,91712,18,1,9.40,562.7,554.1,599.8,82.5,95.4,2.9,24.0,425.2,2.88,11.89,Release,48
dense-wide,530,5.00,17.0,150,A0,on-strong,5,96700,34491,1,91712,18,1,9.40,554.4,553.0,627.1,82.2,94.5,2.8,24.1,424.8,2.78,11.89,Release,48
dense-wide,530,5.00,17.0,150,A1,off,5,96700,34491,7,569280,18,1,9.40,557.1,552.2,610.2,81.6,95.1,3.2,24.0,425.3,0.46,11.89,Release,48
dense-wide,530,5.00,17.0,150,A1,on-zero,5,96700,34491,7,569280,18,1,9.40,563.5,552.8,622.5,82.8,97.2,3.7,25.0,428.3,0.53,11.89,Release,48
dense-wide,530,5.00,17.0,150,A1,on,5,96700,34491,149,13460288,18,20,9.40,675.0,663.4,679.7,85.3,179.5,83.0,61.4,428.6,0.56,11.89,Release,48
dense-wide,530,5.00,17.0,150,A1,on-strong,5,96700,34491,501,46981952,18,43,9.40,750.6,724.4,780.5,84.1,253.6,147.9,62.0,424.9,0.30,11.89,Release,48
dense-wide,530,5.00,17.0,150,A2,off,5,96700,34491,12,939776,18,1,9.40,567.5,559.8,609.3,95.7,109.4,3.5,25.0,433.3,0.29,11.89,Release,48
dense-wide,530,5.00,17.0,150,A2,on-zero,5,96700,34491,12,939776,18,1,9.40,562.6,553.4,607.4,81.9,95.3,3.5,25.1,427.5,0.29,11.89,Release,48
dense-wide,530,5.00,17.0,150,A2,on,5,96700,34491,370,32841344,18,21,9.40,708.6,695.0,745.9,82.2,216.0,123.3,59.3,435.3,0.33,11.89,Release,48
dense-wide,530,5.00,17.0,150,A2,on-strong,5,96700,34505,1068,99172096,19,44,9.40,838.2,811.4,857.5,81.6,334.5,244.8,63.6,426.6,0.23,11.89,Release,48
dense-wide,530,5.00,17.0,350,A0,off,5,96700,34889,1,326720,35,1,9.40,591.0,585.0,665.2,82.8,98.8,5.7,47.6,433.7,5.75,11.89,Release,48
dense-wide,530,5.00,17.0,350,A0,on-zero,5,96700,34889,1,326720,35,1,9.40,630.5,596.1,654.8,82.6,98.3,5.8,50.1,442.6,5.77,11.89,Release,48
dense-wide,530,5.00,17.0,350,A0,on,5,96700,34889,1,326720,35,1,9.40,596.3,593.9,667.9,81.2,96.2,5.7,45.6,440.8,5.72,11.89,Release,48
dense-wide,530,5.00,17.0,350,A0,on-strong,5,96700,34889,1,326720,35,1,9.40,609.0,596.0,629.3,82.9,98.3,5.7,47.1,444.5,5.75,11.89,Release,48
dense-wide,530,5.00,17.0,350,A1,off,5,96700,34889,7,2233280,35,1,9.40,612.2,600.3,645.3,83.9,100.8,6.7,49.5,446.4,0.96,11.89,Release,48
dense-wide,530,5.00,17.0,350,A1,on-zero,5,96700,34889,7,2233280,35,1,9.40,613.0,606.1,683.3,82.6,98.7,6.4,52.2,444.9,0.91,11.89,Release,48
dense-wide,530,5.00,17.0,350,A1,on,5,96700,34889,152,50136576,35,20,9.40,725.6,715.0,770.6,84.5,195.2,93.6,73.7,443.9,0.62,11.89,Release,48
dense-wide,530,5.00,17.0,350,A1,on-strong,5,96700,34909,133,44769600,36,21,18.80,744.2,718.8,770.3,84.0,208.4,95.5,73.2,447.2,0.72,11.89,Release,48
dense-wide,530,5.00,17.0,350,A2,off,5,96700,34909,12,3761408,36,1,9.40,639.2,631.3,680.6,83.9,119.6,6.8,62.1,437.4,0.57,11.89,Release,48
dense-wide,530,5.00,17.0,350,A2,on-zero,5,96700,34909,12,3761408,36,1,9.40,629.4,613.2,680.6,82.8,99.6,7.2,60.0,433.3,0.60,11.89,Release,48
dense-wide,530,5.00,17.0,350,A2,on,5,96700,34909,375,124053440,36,21,9.40,847.8,838.5,929.1,80.7,310.8,216.1,86.4,434.9,0.58,11.89,Release,48
dense-wide,530,5.00,17.0,350,A2,on-strong,5,96700,34938,292,98365184,37,22,18.80,802.1,786.6,844.1,91.1,277.6,169.7,73.7,434.4,0.58,11.89,Release,48
sparse,1000,7.10,17.0,0,A0,off,5,2242,980,1,22592,8,1,13.35,336.5,330.6,338.8,2.3,3.0,0.3,13.1,303.0,0.32,5.93,Release,48
sparse,1000,7.10,17.0,0,A0,on-zero,5,2242,980,1,22592,8,1,13.35,336.8,335.7,342.4,2.3,2.9,0.3,12.2,309.1,0.31,5.93,Release,48
sparse,1000,7.10,17.0,0,A0,on,5,2242,980,1,22592,8,1,13.35,331.8,329.6,341.9,2.3,2.9,0.3,12.9,304.0,0.31,5.93,Release,48
sparse,1000,7.10,17.0,0,A0,on-strong,5,2242,980,1,22592,8,1,13.35,337.6,330.7,343.8,2.4,2.9,0.3,12.6,308.2,0.32,5.93,Release,48
